-3,-20
-2.9,-17.689
-2.8,-15.552
-2.7,-13.583
-2.6,-11.776
-2.5,-10.125
-2.4,-8.624
-2.3,-7.267
-2.2,-6.048
-2.1,-4.961
-2,-4
-1.9,-3.159
-1.8,-2.432
-1.7,-1.813
-1.6,-1.296
-1.5,-0.875
-1.4,-0.544
-1.3,-0.297
-1.2,-0.128
-1.1,-0.031
-1,0
-0.9,-0.029
-0.8,-0.112
-0.7,-0.243
-0.6,-0.416
-0.5,-0.625
-0.4,-0.864
-0.3,-1.127
-0.2,-1.408
-0.1,-1.701
0,-2
0.1,-2.299
0.2,-2.592
0.3,-2.873
0.4,-3.136
0.5,-3.375
0.6,-3.584
0.7,-3.757
0.8,-3.888
0.9,-3.971
1,-4
1.1,-3.969
1.2,-3.872
1.3,-3.703
1.4,-3.456
1.5,-3.125
1.6,-2.704
1.7,-2.187
1.8,-1.568
1.9,-0.841
2,0
2.1,0.961
2.2,2.048
2.3,3.267
2.4,4.624
2.5,6.125
2.6,7.776
2.7,9.583
2.8,11.552
2.9,13.689
